elo_prob1,score1,score2
0.717780669,35,21
0.750854396,32,3
0.206452606,23,30
0.565996209,35,31
0.346994108,26,13
0.784823632,24,0
0.549418544,30,13
0.736845217,28,16
0.414287591,17,27
0.523358541,23,26
0.448050431,16,10
0.614544997,17,16
0.77098622,20,17
0.421689944,34,24
0.734676307,17,14
0.598027604,13,10
0.64780967,16,29
0.588373624,8,13
0.642728931,40,33
0.510427759,16,13
0.346071203,34,31
0.289874545,7,37
0.454394885,20,23
0.656437433,18,16
0.417922533,19,31
0.529866348,22,17
0.387103524,10,23
0.901286231,49,23
0.521281729,13,31
0.638987435,23,24
0.48616931,23,20
0.599441028,30,34
0.448329469,10,17
0.77322976,34,29
0.750013489,26,16
0.36304409,27,31
0.624778035,34,17
0.397909482,28,30
0.47785643,17,10
0.648418824,24,17
0.638650076,20,25
0.577178173,31,24
0.654923401,38,17
0.781796693,25,36
0.392026075,14,25
0.651462547,34,10
0.666107418,24,28
0.722601615,30,21
0.546151656,20,30
0.279504485,27,30
0.537275762,48,3
0.325674919,24,29
0.587977626,24,13
0.644214631,27,17
0.825146755,17,13
0.430939295,26,20
0.626972423,19,25
0.796474296,31,17
0.807122362,20,16
0.928401208,24,3
0.595252748,27,24
0.693122525,39,10
0.741795329,29,14
0.569263972,13,20
0.734412532,24,17
0.770441993,24,6
0.258363472,20,32
0.784433554,34,7
0.590681781,27,21
0.788732675,62,7
0.602468336,7,41
0.458013609,33,20
0.523797931,24,18
0.204907426,27,33
0.732040071,0,28
0.537895378,6,3
0.563544078,16,23
0.649567547,15,18
0.245363649,12,7
0.772430355,20,17
0.668911721,27,10
0.877065935,30,27
0.222230399,31,21
0.55332577,21,24
0.506256948,12,34
0.605936003,34,7
0.757461552,20,10
0.700078915,23,0
0.487561412,25,17
0.410673105,10,45
0.754486033,24,14
0.491176259,23,20
0.673035566,27,16
0.61445636,20,23
0.772965196,30,12
0.337717353,7,31
0.366204754,11,19
0.756156285,20,24
0.331118877,38,45
0.695420832,23,13
0.502803368,11,27
0.747477263,3,31
0.532122808,17,24
0.763992172,24,38
0.55958417,19,13
0.573520058,24,30
0.705854271,17,24
0.461882848,3,30
0.593758193,44,7
0.648429323,20,9
0.653214559,37,13
0.659782943,10,17
0.614336347,23,26
0.619019998,27,20
0.557344298,16,37
0.54097594,3,17
0.256369868,22,17
0.492450973,17,24
0.787863276,17,21
0.66321932,12,13
0.472583591,9,37
0.897747443,45,7
0.371619072,17,13
0.8872052,35,26
0.701538166,23,17
0.830637734,23,7
0.378444617,24,27
0.503250917,7,24
0.796251185,49,35
0.566950443,35,8
0.524794318,14,10
0.723683799,31,20
0.521541731,21,27
0.666198312,10,17
0.698547717,31,24
0.866066628,34,3
0.277835916,15,27
0.616840074,16,6
0.670420706,20,19
0.634783372,23,17
0.703341766,17,23
0.423507531,25,20
0.606988388,19,27
0.275111484,9,13
0.522407842,20,23
0.363484813,20,38
0.647397168,13,16
0.807527094,24,14
0.744558557,28,24
0.339133782,13,20
0.736243141,23,20
0.696223741,49,24
0.476281042,31,14
0.498916348,17,23
0.348402838,19,34
0.383149042,19,13
0.931980005,31,24
0.748355278,35,7
0.620607078,17,10
0.875970628,26,0
0.236830864,35,38
0.696345475,19,38
0.814857311,3,10
0.727293858,31,17
0.495282719,32,35
0.264900881,10,24
0.530558903,34,14
0.510609007,14,38
0.879356854,14,3
0.621755763,34,37
0.737204476,34,28
0.633988955,10,26
0.431230121,17,22
0.177154033,27,34
0.418139601,19,20
0.91238368,24,10
0.342711425,21,19
0.707536654,37,10
0.772053716,37,10
0.34351713,23,31
0.882691032,46,16
0.568121703,41,14
0.483865921,13,10
0.768854002,30,13
0.813773653,41,14
0.406101575,15,31
0.694431094,14,38
0.662036688,20,17
0.157809406,19,14
0.462270605,45,19
0.393725917,34,14
0.323930249,27,13
0.302282068,13,20
0.233396071,20,42
0.858637323,13,28
0.289615109,23,41
0.557548795,27,28
0.76802739,10,23
0.492856716,23,30
0.462731394,20,3
0.272757523,19,16
0.856491378,27,24
0.691422868,23,16
0.573196186,13,16
0.717504222,14,29
0.919045754,27,0
0.444843887,40,14
0.664385793,26,33
0.53199382,38,10
0.683369328,23,17
0.448142965,17,19
0.723145914,48,16
0.858871928,20,14
0.557536015,7,20
0.862371222,35,21
0.660759128,45,16
0.812756955,34,10
0.490756174,23,20
0.167806674,27,34
0.827435437,45,41
0.586915958,3,7
0.541862069,26,38
0.834910351,45,17
0.61033671,19,13
0.535696871,19,17
0.454484796,16,24
0.866351489,45,24
0.705568542,22,23
0.454292132,13,17
0.902939272,49,21
0.227634412,9,13
0.620428151,31,14
0.774665892,45,28
0.648828156,31,10
0.278100487,29,23
0.504784914,24,2
0.486498621,36,32
0.884154148,45,10
0.817652,20,37
